price,compression-ratio,horsepower,peak-rpm,num-of-doors,num-of-cylinders,body-style
13495.0,9.0,111.0,5000.0,two,four,convertible
16500.0,9.0,111.0,5000.0,two,four,convertible
16500.0,9.0,154.0,5000.0,two,six,hatchback
13950.0,10.0,102.0,5500.0,four,four,sedan
17450.0,8.0,115.0,5500.0,four,five,sedan
15250.0,8.5,110.0,5500.0,two,five,sedan
17710.0,8.5,110.0,5500.0,four,five,sedan
18920.0,8.5,110.0,5500.0,four,five,wagon
23875.0,8.3,140.0,5500.0,four,five,sedan
,7.0,160.0,5500.0,two,five,hatchback
16430.0,8.8,101.0,5800.0,two,four,sedan
16925.0,8.8,101.0,5800.0,four,four,sedan
20970.0,9.0,121.0,4250.0,two,six,sedan
21105.0,9.0,121.0,4250.0,four,six,sedan
24565.0,9.0,121.0,4250.0,four,six,sedan
30760.0,8.0,182.0,5400.0,four,six,sedan
41315.0,8.0,182.0,5400.0,two,six,sedan
36880.0,8.0,182.0,5400.0,four,six,sedan
5151.0,9.5,48.0,5100.0,two,three,hatchback
6295.0,9.6,70.0,5400.0,two,four,hatchback
6575.0,9.6,70.0,5400.0,four,four,sedan
5572.0,9.41,68.0,5500.0,two,four,hatchback
6377.0,9.4,68.0,5500.0,two,four,hatchback
7957.0,7.6,102.0,5500.0,two,four,hatchback
6229.0,9.4,68.0,5500.0,four,four,hatchback
6692.0,9.4,68.0,5500.0,four,four,sedan
7609.0,9.4,68.0,5500.0,four,four,sedan
8558.0,7.6,102.0,5500.0,,four,sedan
8921.0,8.5,88.0,5000.0,four,four,wagon
12964.0,7.0,145.0,5000.0,two,four,hatchback
6479.0,9.6,58.0,4800.0,two,four,hatchback
6855.0,9.2,76.0,6000.0,two,four,hatchback
5399.0,10.1,60.0,5500.0,two,four,hatchback
6529.0,9.2,76.0,6000.0,two,four,hatchback
7129.0,9.2,76.0,6000.0,two,four,hatchback
7295.0,9.2,76.0,6000.0,four,four,sedan
7295.0,9.2,76.0,6000.0,four,four,wagon
7895.0,9.0,86.0,5800.0,two,four,hatchback
9095.0,9.0,86.0,5800.0,two,four,hatchback
8845.0,9.0,86.0,5800.0,four,four,sedan
10295.0,9.0,86.0,5800.0,four,four,sedan
12945.0,9.0,101.0,5800.0,four,four,sedan
10345.0,9.1,100.0,5500.0,two,four,sedan
6785.0,8.5,78.0,4800.0,four,four,sedan
,9.6,70.0,5400.0,two,four,sedan
,9.6,70.0,5400.0,four,four,sedan
11048.0,9.2,90.0,5000.0,two,four,hatchback
32250.0,8.1,176.0,4750.0,four,six,sedan
35550.0,8.1,176.0,4750.0,four,six,sedan
36000.0,11.5,262.0,5000.0,two,twelve,sedan
5195.0,9.0,68.0,5000.0,two,four,hatchback
6095.0,9.0,68.0,5000.0,two,four,hatchback
6795.0,9.0,68.0,5000.0,two,four,hatchback
6695.0,9.0,68.0,5000.0,four,four,sedan
7395.0,9.0,68.0,5000.0,four,four,sedan
10945.0,9.4,101.0,6000.0,two,two,hatchback
11845.0,9.4,101.0,6000.0,two,two,hatchback
13645.0,9.4,101.0,6000.0,two,two,hatchback
15645.0,9.4,135.0,6000.0,two,two,hatchback
8845.0,8.6,84.0,4800.0,two,four,hatchback
8495.0,8.6,84.0,4800.0,four,four,sedan
10595.0,8.6,84.0,4800.0,two,four,hatchback
10245.0,8.6,84.0,4800.0,four,four,sedan
10795.0,22.7,64.0,4650.0,,four,sedan
11245.0,8.6,84.0,4800.0,four,four,hatchback
18280.0,8.0,120.0,5000.0,four,four,sedan
18344.0,22.0,72.0,4200.0,four,four,sedan
25552.0,21.5,123.0,4350.0,four,five,sedan
28248.0,21.5,123.0,4350.0,four,five,wagon
28176.0,21.5,123.0,4350.0,two,five,hardtop
31600.0,21.5,123.0,4350.0,four,five,sedan
34184.0,8.3,155.0,4750.0,four,eight,sedan
35056.0,8.3,155.0,4750.0,two,eight,convertible
40960.0,8.0,184.0,4500.0,four,eight,sedan
45400.0,8.0,184.0,4500.0,two,eight,hardtop
16503.0,8.0,175.0,5000.0,two,four,hatchback
5389.0,9.4,68.0,5500.0,two,four,hatchback
6189.0,9.4,68.0,5500.0,two,four,hatchback
6669.0,9.4,68.0,5500.0,two,four,hatchback
7689.0,7.6,102.0,5500.0,two,four,hatchback
9959.0,7.5,116.0,5500.0,two,four,hatchback
8499.0,8.5,88.0,5000.0,two,four,hatchback
12629.0,7.0,145.0,5000.0,two,four,hatchback
14869.0,7.0,145.0,5000.0,two,four,hatchback
14489.0,7.0,145.0,5000.0,two,four,hatchback
6989.0,8.5,88.0,5000.0,four,four,sedan
8189.0,8.5,88.0,5000.0,four,four,sedan
